,Feeding,,,Lying,,,Standing,,,Lying down,,,Standing up,,,Normal walking,,,Active walking,,,,,
,Acc in x (g),Acc in y (g),Acc in z (g),Acc in x (g),Acc in y (g),Acc in z (g),Acc in x (g),Acc in y (g),Acc in z (g),Acc in x (g),Acc in y (g),Acc in z (g),Acc in x (g),Acc in y (g),Acc in z (g),Acc in x (g),Acc in y (g),Acc in z (g),Acc in x (g),Acc in y (g),Acc in z (g),,,
1,-0.8,0.2,0.2,-0.1,0.3,-0.6,-0.8,0,0.4,-0.5,-1.1,1,-0.3,0.7,-1,-0.1,0.2,-0.1,-0.4,0.3,-1.2,,,
,-0.9,0.1,0.2,-0.1,0.3,-0.6,-0.8,0,0.4,0.7,-0.3,-0.4,1.3,-1.6,-0.1,-0.3,-0.1,-0.5,-0.3,2.3,0.3,,,
,-0.9,0,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,0.6,0.5,1.5,2.4,-2,0.7,0,-0.4,0.1,0.5,1.7,-0.3,,,
,-0.8,-0.1,0.4,-0.1,0.3,-0.6,-0.8,0,0.4,1.8,-0.1,-0.4,-2.1,0.3,-0.6,-0.4,0,0.4,-1.3,1.3,2.5,,,
,-1.1,-0.2,0.5,-0.1,0.3,-0.6,-0.8,0,0.4,-1.8,0.3,-0.2,1.1,0.6,1.3,0.5,-0.7,-0.2,2.6,2.5,0.2,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,-0.3,1,-0.1,0.2,1.1,-0.6,0.3,-0.5,0.4,-0.4,0.8,0.6,,,
2,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,-0.2,1.8,1.2,1.5,1.8,3,0.5,0,0.7,-2.8,0.8,-0.3,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,0,-0.4,0.2,1.3,0,-0.5,0.1,1,0,-0.4,0.7,-1.1,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,-1.2,-0.4,-2,-0.3,-2.4,0.1,0.6,0.2,0.5,2.4,1.6,-1.8,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.5,-0.6,1.7,1.1,-1.4,1.4,0.3,-0.7,1.1,-2.2,1.1,2.3,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,-0.1,0.4,0.7,-0.2,-2.5,0.7,2.2,2.3,-0.3,0.2,-0.9,0.8,-1.7,-2.8,,,
,-0.8,0.1,0.3,-0.1,0.3,-0.6,-0.8,0,0.4,0.9,-1.7,-0.5,-1.5,-0.6,-0.1,0.1,0.3,-0.3,-0.1,-0.5,0.5,,,
